PLAYER NAME,AVG_ROUND_3_SCORING_AVERAGE,TOTAL STROKES_ROUND_3_SCORING_AVERAGE,TOTAL ROUNDS_ROUND_3_SCORING_AVERAGE,YEAR,AVG_SCORING_AVERAGE_BEFORE_CUT,TOTAL STROKES_SCORING_AVERAGE_BEFORE_CUT,TOTAL ROUNDS_SCORING_AVERAGE_BEFORE_CUT,ROUNDS_PUTTING,AVERAGE_PUTTING,TOTAL SG:PUTTING_PUTTING,MEASURED ROUNDS_PUTTING,ROUNDS_OFF-THE-TEE,AVERAGE_OFF-THE-TEE,TOTAL SG:OTT_OFF-THE-TEE,MEASURED ROUNDS_OFF-THE-TEE,ROUNDS_TEE-TO-GREEN,AVERAGE_TEE-TO-GREEN,SG:OTT_TEE-TO-GREEN,SG:APR_TEE-TO-GREEN,SG:ARG_TEE-TO-GREEN,MEASURED ROUNDS_TEE-TO-GREEN,AVG_FINAL_ROUND_SCORING_AVERAGE,TOTAL STROKES_FINAL_ROUND_SCORING_AVERAGE,TOTAL ROUNDS_FINAL_ROUND_SCORING_AVERAGE,ROUNDS_AROUND-THE-GREEN,AVERAGE_AROUND-THE-GREEN,TOTAL SG:ARG_AROUND-THE-GREEN,MEASURED ROUNDS_AROUND-THE-GREEN,ROUNDS_APPROACH-THE-GREEN,AVERAGE_APPROACH-THE-GREEN,TOTAL SG:APP_APPROACH-THE-GREEN,MEASURED ROUNDS_APPROACH-THE-GREEN,TOP 10_TOP_10_FINISHES,1ST_TOP_10_FINISHES,2ND_TOP_10_FINISHES,3RD_TOP_10_FINISHES,MONEY_CAREER_MONEY_LEADERS,RANK_OFFICIAL_WORLD_GOLF_RANKING,ROWAN SCORE,ALL-AROUND_RANKING_DIFF,OFFICIAL_WORLD_GOLF_RANKING_DIFF
Charl Schwartzel,69.5,278,4,2013,69.38,555,8,17.0,0.703,11.241,16.0,17.0,0.264,4.22,16.0,17.0,1.382,0.264,1.165,-0.047,16.0,71.0,284.0,4.0,17.0,-0.047,-0.747,16.0,17.0,1.165,18.638,16.0,2.0,0.0,0.0,1.0,5398412.0,15.0,-8.0,-38.0,0.6100000000000136
Kevin Streelman,69.57,487,7,2013,70.2,1404,20,32.0,0.372,9.665,26.0,32.0,0.273,7.104,26.0,32.0,1.069,0.273,0.642,0.154,26.0,68.71,481.0,7.0,32.0,0.154,3.991,26.0,32.0,0.642,16.689,26.0,2.0,1.0,0.0,0.0,7358278.0,78.0,0.0,37.0,1.0499999999999972
John Senden,69.6,348,5,2013,70.47,1198,17,27.0,0.187,4.305,23.0,27.0,0.033,0.769,23.0,27.0,0.047,0.033,-0.203,0.217,23.0,71.8,359.0,5.0,27.0,0.217,4.981,23.0,27.0,-0.203,-4.663,23.0,0.0,0.0,0.0,0.0,15614642.0,50.0,-9.0,14.0,-5.349999999999994
Jim Furyk,70.0,420,6,2013,70.69,919,13,26.0,0.145,3.19,22.0,26.0,0.102,2.241,22.0,26.0,1.3,0.102,0.787,0.411,22.0,71.0,426.0,6.0,26.0,0.411,9.036,22.0,26.0,0.787,17.323,22.0,2.0,0.0,0.0,1.0,53531890.0,25.0,-10.0,-4.0,4.719999999999999
Ryo Ishikawa,70.0,280,4,2013,72.53,1378,19,25.0,-1.239,-22.298,18.0,25.0,0.031,0.561,18.0,25.0,-0.532,0.031,-0.364,-0.2,18.0,74.67,224.0,3.0,25.0,-0.2,-3.595,18.0,25.0,-0.364,-6.549,18.0,0.0,0.0,0.0,0.0,1085204.0,115.0,-22.0,35.0,-4.969999999999999
Martin Laird,70.0,350,5,2013,71.26,1354,19,28.0,-0.345,-8.624,25.0,28.0,0.753,18.82,25.0,28.0,0.672,0.753,-0.112,0.032,25.0,70.4,352.0,5.0,28.0,0.032,0.795,25.0,28.0,-0.112,-2.811,25.0,1.0,1.0,0.0,0.0,10374626.0,56.0,0.0,-243.0,40.43000000000001
Kevin Na,70.0,210,3,2013,69.93,1049,15,18.0,0.903,11.744,13.0,18.0,-1.145,-14.889,13.0,18.0,-0.817,-1.145,-0.357,0.685,13.0,69.0,138.0,2.0,18.0,0.685,8.906,13.0,18.0,-0.357,-4.637,13.0,0.0,0.0,0.0,0.0,13246681.0,96.0,-7.0,-30.0,-5.450000000000003
Scott Piercy,70.0,350,5,2013,71.69,1147,16,28.0,0.459,11.016,24.0,28.0,0.252,6.039,24.0,28.0,-0.297,0.252,-0.451,-0.098,24.0,69.6,348.0,5.0,28.0,-0.098,-2.35,24.0,28.0,-0.451,-10.821,24.0,2.0,0.0,0.0,1.0,6714715.0,38.0,-11.0,45.0,-6.569999999999993
Sergio Garcia,70.25,281,4,2013,69.38,555,8,17.0,0.5,7.505,15.0,17.0,0.495,7.417,15.0,17.0,1.69,0.495,0.725,0.47,15.0,70.0,210.0,3.0,17.0,0.47,7.056,15.0,17.0,0.725,10.878,15.0,2.0,0.0,0.0,1.0,31372567.0,16.0,-19.0,-32.0,-12.090000000000003
Hunter Mahan,70.29,492,7,2013,70.35,1196,17,35.0,0.695,18.062,26.0,35.0,0.241,6.27,26.0,35.0,0.533,0.241,0.212,0.08,26.0,71.71,502.0,7.0,35.0,0.08,2.068,26.0,35.0,0.212,5.517,26.0,2.0,0.0,1.0,0.0,23276858.0,21.0,0.0,9.0,-6.970000000000027
Robert Garrigus,70.33,422,6,2013,70.19,1123,16,30.0,-0.38,-7.979,21.0,30.0,0.251,5.27,21.0,30.0,0.709,0.251,1.073,-0.615,21.0,70.17,421.0,6.0,30.0,-0.615,-12.912,21.0,30.0,1.073,22.522,21.0,2.0,0.0,0.0,0.0,10322399.0,39.0,-7.0,14.0,-6.810000000000002
George Coetzee,70.5,282,4,2013,71.0,568,8,17.0,0.993,15.885,16.0,17.0,-0.526,-8.416,16.0,17.0,-1.232,-0.526,-0.768,0.062,16.0,76.25,305.0,4.0,17.0,0.062,0.995,16.0,17.0,-0.768,-12.285,16.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,158.41144200626957,-6.319999999999993
Brian Gay,70.5,423,6,2013,70.47,1339,19,30.0,0.62,17.364,28.0,30.0,-0.34,-9.52,28.0,30.0,-0.448,-0.34,-0.455,0.347,28.0,69.83,419.0,6.0,30.0,0.347,9.729,28.0,30.0,-0.455,-12.751,28.0,1.0,1.0,0.0,0.0,16948783.0,118.0,-5.0,65.0,-1.7199999999999989
Bill Haas,70.5,564,8,2013,69.24,1177,17,31.0,0.233,6.303,27.0,31.0,0.291,7.857,27.0,31.0,1.26,0.291,0.781,0.187,27.0,72.0,504.0,7.0,31.0,0.187,5.05,27.0,31.0,0.781,21.098,27.0,5.0,0.0,0.0,1.0,15281027.0,29.0,-6.0,-102.0,5.4599999999999795
Bo Van Pelt,70.5,282,4,2013,71.33,1070,15,24.0,-0.489,-9.3,19.0,24.0,0.257,4.879,19.0,24.0,-0.44,0.257,-0.201,-0.496,19.0,71.75,287.0,4.0,24.0,-0.496,-9.415,19.0,24.0,-0.201,-3.822,19.0,0.0,0.0,0.0,0.0,18183349.0,26.0,-12.0,69.0,-11.04000000000002
Carl Pettersson,70.57,494,7,2013,70.78,1274,18,32.0,-0.069,-1.92,28.0,32.0,0.197,5.528,28.0,32.0,0.047,0.197,-0.411,0.26,28.0,70.43,493.0,7.0,32.0,0.26,7.292,28.0,32.0,-0.411,-11.502,28.0,1.0,0.0,0.0,0.0,19601896.0,35.0,-9.0,-59.0,-4.3799999999999955
Vijay Singh,70.67,424,6,2013,69.92,909,13,24.0,-0.439,-9.216,21.0,24.0,0.327,6.872,21.0,24.0,0.821,0.327,0.227,0.267,21.0,72.33,434.0,6.0,24.0,0.267,5.603,21.0,24.0,0.227,4.765,21.0,0.0,0.0,0.0,0.0,67447870.0,111.0,-5.0,36.0,-4.310000000000002
Michael Thompson,70.67,212,3,2013,71.56,1145,16,22.0,-0.102,-2.133,21.0,22.0,-0.171,-3.597,21.0,22.0,0.027,-0.171,0.258,-0.06,21.0,72.33,217.0,3.0,22.0,-0.06,-1.259,21.0,22.0,0.258,5.411,21.0,2.0,1.0,0.0,0.0,3630933.0,44.0,-27.0,-5.0,-4.4199999999999875
John Merrick,70.71,495,7,2013,70.45,1409,20,31.0,-0.305,-7.922,26.0,31.0,0.08,2.078,26.0,31.0,0.755,0.08,0.545,0.13,26.0,71.5,429.0,6.0,31.0,0.13,3.372,26.0,31.0,0.545,14.166,26.0,1.0,1.0,0.0,0.0,7224324.0,81.0,0.0,12.0,-0.46000000000000796
Y.E. Yang,70.8,354,5,2013,70.57,988,14,24.0,-0.048,-0.907,19.0,24.0,0.528,10.024,19.0,24.0,0.201,0.528,-0.337,0.01,19.0,69.8,349.0,5.0,24.0,0.01,0.185,19.0,24.0,-0.337,-6.394,19.0,0.0,0.0,0.0,0.0,8282354.0,154.0,0.0,-24.0,-4.399999999999999
Matt Kuchar,70.86,496,7,2013,69.47,1042,15,33.0,0.631,15.763,25.0,33.0,0.035,0.862,25.0,33.0,0.65,0.035,0.535,0.08,25.0,68.86,482.0,7.0,33.0,0.08,1.995,25.0,33.0,0.535,13.382,25.0,3.0,1.0,0.0,0.0,23009607.0,10.0,-18.0,3.0,-9.740000000000009
Russell Henley,71.0,426,6,2013,69.71,1185,17,30.0,0.66,17.163,26.0,30.0,0.431,11.198,26.0,30.0,0.015,0.431,0.082,-0.497,26.0,69.0,414.0,6.0,30.0,-0.497,-12.933,26.0,30.0,0.082,2.12,26.0,1.0,1.0,0.0,0.0,1331434.0,51.0,0.0,-35.0,-0.5699999999999932
Marc Leishman,71.0,355,5,2013,71.72,1291,18,27.0,-0.269,-6.986,26.0,27.0,-0.267,-6.935,26.0,27.0,0.076,-0.267,0.343,0.0,26.0,71.6,358.0,5.0,27.0,0.0,0.007,26.0,27.0,0.343,8.906,26.0,1.0,0.0,0.0,0.0,6350612.0,108.0,-11.0,57.0,-3.719999999999999
Ryan Moore,71.0,284,4,2013,71.64,1003,14,22.0,-0.076,-1.604,21.0,22.0,-0.015,-0.316,21.0,22.0,-0.27,-0.015,-0.281,0.026,21.0,72.75,291.0,4.0,22.0,0.026,0.545,21.0,22.0,-0.281,-5.903,21.0,1.0,0.0,0.0,0.0,14480783.0,45.0,-22.0,25.0,-6.219999999999985
Lee Westwood,71.17,427,6,2013,69.92,909,13,25.0,-0.191,-4.193,22.0,25.0,0.548,12.057,22.0,25.0,1.392,0.548,0.486,0.358,22.0,72.17,433.0,6.0,25.0,0.358,7.874,22.0,25.0,0.486,10.695,22.0,2.0,0.0,0.0,0.0,14160474.0,13.0,-13.0,-65.0,-11.70999999999998
Freddie Jacobson,71.2,356,5,2013,69.08,898,13,25.0,0.984,19.68,20.0,25.0,-0.118,-2.356,20.0,25.0,0.919,-0.118,0.658,0.378,20.0,70.0,350.0,5.0,25.0,0.378,7.566,20.0,25.0,0.658,13.159,20.0,3.0,0.0,0.0,1.0,14012778.0,46.0,-5.0,18.0,-2.9599999999999937
"Ted Potter, Jr.",71.25,285,4,2013,71.0,1207,17,23.0,0.747,15.682,21.0,23.0,0.191,4.02,21.0,23.0,-0.553,0.191,-0.364,-0.381,21.0,70.5,282.0,4.0,23.0,-0.381,-7.993,21.0,23.0,-0.364,-7.652,21.0,1.0,0.0,0.0,0.0,1757393.0,140.0,0.0,68.0,-3.3399999999999963
Ian Poulter,71.25,285,4,2013,71.13,569,8,21.0,0.633,9.494,15.0,21.0,0.178,2.664,15.0,21.0,0.076,0.178,-0.411,0.309,15.0,72.0,288.0,4.0,21.0,0.309,4.641,15.0,21.0,-0.411,-6.167,15.0,2.0,0.0,0.0,0.0,13458053.0,12.0,0.0,-25.0,-6.530000000000001
Bubba Watson,71.25,285,4,2013,70.1,701,10,20.0,0.231,3.918,17.0,20.0,0.872,14.823,17.0,20.0,0.985,0.872,0.071,0.041,17.0,69.25,277.0,4.0,20.0,0.041,0.7,17.0,20.0,0.071,1.211,17.0,2.0,0.0,0.0,0.0,17726942.0,14.0,-11.0,-33.0,-6.519999999999982
Nicolas Colsaerts,71.33,214,3,2013,71.0,710,10,19.0,-1.136,-17.037,15.0,19.0,0.503,7.543,15.0,19.0,0.999,0.503,1.25,-0.754,15.0,73.33,220.0,3.0,19.0,-0.754,-11.303,15.0,19.0,1.25,18.746,15.0,1.0,0.0,0.0,0.0,785635.0,42.0,0.0,-20.0,-7.329999999999984
Ángel Cabrera,71.4,357,5,2013,70.79,991,14,24.0,-0.104,-1.982,19.0,24.0,0.63,11.969,19.0,24.0,0.346,0.63,-0.313,0.029,19.0,71.2,356.0,5.0,24.0,0.029,0.545,19.0,24.0,-0.313,-5.95,19.0,0.0,0.0,0.0,0.0,10225077.0,269.0,-29.0,-32.0,2.5400000000000027
K.J. Choi,71.5,429,6,2013,70.0,1120,16,29.0,0.304,6.995,23.0,29.0,0.332,7.628,23.0,29.0,1.012,0.332,0.366,0.314,23.0,69.67,418.0,6.0,29.0,0.314,7.219,23.0,29.0,0.366,8.419,23.0,2.0,0.0,0.0,0.0,27915738.0,75.0,-9.0,-32.0,-0.6099999999999994
Jason Dufner,71.5,286,4,2013,70.83,850,12,20.0,-0.017,-0.322,19.0,20.0,0.601,11.413,19.0,20.0,0.458,0.601,0.015,-0.158,19.0,71.5,286.0,4.0,20.0,-0.158,-3.001,19.0,20.0,0.015,0.282,19.0,0.0,0.0,0.0,0.0,12762399.0,18.0,-11.0,32.0,-13.169999999999987
Ben Curtis,71.8,359,5,2013,71.63,1146,16,25.0,-0.085,-2.028,24.0,25.0,-0.458,-10.982,24.0,25.0,0.133,-0.458,0.195,0.396,24.0,72.8,364.0,5.0,25.0,0.396,9.507,24.0,25.0,0.195,4.675,24.0,0.0,0.0,0.0,0.0,12924479.0,102.0,0.0,27.0,1.8900000000000006
Trevor Immelman,71.8,359,5,2013,71.29,1212,17,25.0,-0.429,-9.443,22.0,25.0,-0.066,-1.461,22.0,25.0,0.01,-0.066,-0.078,0.155,22.0,73.75,295.0,4.0,25.0,0.155,3.406,22.0,25.0,-0.078,-1.721,22.0,0.0,0.0,0.0,0.0,11754815.0,272.0,-9.0,25.0,-2.9200000000000017
Dustin Johnson,71.83,431,6,2013,70.0,1120,16,26.0,0.431,9.484,22.0,26.0,0.262,5.772,22.0,26.0,0.875,0.262,0.816,-0.203,22.0,70.4,352.0,5.0,26.0,-0.203,-4.47,22.0,26.0,0.816,17.953,22.0,2.0,1.0,0.0,0.0,18548006.0,19.0,-18.0,-87.0,3.219999999999999
Jason Day,72.0,432,6,2013,70.31,914,13,30.0,0.405,8.495,21.0,30.0,0.292,6.13,21.0,30.0,0.447,0.292,-0.059,0.214,21.0,69.5,417.0,6.0,30.0,0.214,4.495,21.0,30.0,-0.059,-1.248,21.0,3.0,0.0,0.0,1.0,11318891.0,36.0,-23.0,32.0,-8.009999999999991
Zach Johnson,72.0,288,4,2013,71.33,1070,15,22.0,-0.442,-8.401,19.0,22.0,0.06,1.13,19.0,22.0,-0.04,0.06,0.028,-0.127,19.0,71.75,287.0,4.0,22.0,-0.127,-2.41,19.0,22.0,0.028,0.525,19.0,0.0,0.0,0.0,0.0,26551223.0,27.0,-11.0,-36.0,-8.180000000000007
D.A. Points,72.2,361,5,2013,71.25,1710,24,31.0,-0.371,-8.899,24.0,31.0,-0.209,-5.027,24.0,31.0,0.325,-0.209,0.274,0.261,24.0,70.5,282.0,4.0,31.0,0.261,6.26,24.0,31.0,0.274,6.564,24.0,1.0,1.0,0.0,0.0,7950550.0,71.0,-5.0,-87.0,52.300000000000004
Graeme McDowell,72.33,217,3,2013,69.88,559,8,18.0,0.754,10.55,14.0,18.0,0.461,6.456,14.0,18.0,0.717,0.461,0.011,0.245,14.0,70.33,211.0,3.0,18.0,0.245,3.429,14.0,18.0,0.011,0.153,14.0,3.0,0.0,0.0,1.0,8047787.0,17.0,0.0,52.0,-9.590000000000003
David Lynn,72.43,507,7,2013,71.26,1354,19,32.0,0.22,6.146,28.0,32.0,-0.152,-4.25,28.0,32.0,0.135,-0.152,-0.156,0.443,28.0,71.0,426.0,6.0,32.0,0.443,12.392,28.0,32.0,-0.156,-4.36,28.0,1.0,0.0,0.0,0.0,1399435.0,53.0,-9.0,23.0,-1.1700000000000017
Nick Watney,72.5,580,8,2013,70.76,1203,17,32.0,-0.008,-0.219,27.0,32.0,0.582,15.712,27.0,32.0,0.28,0.582,0.073,-0.375,27.0,71.86,503.0,7.0,32.0,-0.375,-10.124,27.0,32.0,0.073,1.967,27.0,1.0,0.0,0.0,0.0,19371307.0,23.0,-23.0,-117.0,-8.27000000000001
John Huh,72.83,437,6,2013,70.86,1559,22,33.0,-0.427,-13.677,32.0,33.0,-0.002,-0.066,32.0,33.0,0.153,-0.002,0.036,0.119,32.0,74.33,446.0,6.0,33.0,0.119,3.806,32.0,33.0,0.036,1.167,32.0,0.0,0.0,0.0,0.0,2955226.0,105.0,-26.0,-30.0,-0.7800000000000011
Peter Hanson,74.0,296,4,2013,69.88,559,8,17.0,0.745,11.171,15.0,17.0,-0.12,-1.797,15.0,17.0,0.223,-0.12,0.092,0.251,15.0,69.67,209.0,3.0,17.0,0.251,3.763,15.0,17.0,0.092,1.378,15.0,1.0,0.0,0.0,0.0,2255352.0,22.0,-5.0,-72.0,-8.629999999999995
Jimmy Walker,67.73,745,11,2014,70.52,1763,25,48.0,1.007,35.259,35.0,48.0,0.182,6.376,35.0,48.0,0.646,0.182,0.413,0.051,35.0,69.91,769.0,11.0,48.0,0.051,1.768,35.0,48.0,0.413,14.446,35.0,4.0,3.0,0.0,0.0,11289501.0,24.0,-15.0,6.0,-0.39999999999997726
Justin Rose,68.0,272,4,2014,72.1,721,10,20.0,0.078,1.093,14.0,20.0,-0.071,-1.0,14.0,20.0,0.316,-0.071,-0.147,0.535,14.0,72.0,288.0,4.0,20.0,0.535,7.488,14.0,20.0,-0.147,-2.064,14.0,2.0,0.0,0.0,0.0,25912244.0,8.0,-18.0,29.0,-18.649999999999977
Bubba Watson,68.5,411,6,2014,71.23,926,13,28.0,0.269,4.309,16.0,28.0,1.167,18.67,16.0,28.0,1.855,1.167,0.479,0.209,16.0,68.83,413.0,6.0,28.0,0.209,3.34,16.0,28.0,0.479,7.665,16.0,5.0,1.0,2.0,0.0,21631925.0,12.0,-38.0,47.0,-10.689999999999998
Matt Every,68.64,755,11,2014,69.58,1670,24,43.0,0.952,29.525,31.0,43.0,0.178,5.518,31.0,43.0,0.995,0.178,0.757,0.06,31.0,69.9,699.0,10.0,43.0,0.06,1.859,31.0,43.0,0.757,23.461,31.0,5.0,1.0,0.0,0.0,5736553.0,42.0,0.0,-52.0,52.91000000000001
Martin Kaymer,68.67,206,3,2014,72.7,727,10,17.0,-0.096,-1.154,12.0,17.0,0.427,5.12,12.0,17.0,-0.848,0.427,-0.349,-0.926,12.0,71.67,215.0,3.0,17.0,-0.926,-11.113,12.0,17.0,-0.349,-4.186,12.0,1.0,0.0,0.0,0.0,4038791.0,63.0,-5.0,-7.0,-7.090000000000003
Graham DeLaet,69.0,552,8,2014,70.94,1277,18,35.0,-0.074,-1.846,25.0,35.0,0.192,4.806,25.0,35.0,1.486,0.192,0.977,0.316,25.0,69.75,558.0,8.0,35.0,0.316,7.906,25.0,35.0,0.977,24.422,25.0,5.0,0.0,2.0,0.0,6581940.0,30.0,0.0,-33.0,-2.6899999999999977
Gary Woodland,69.0,552,8,2014,70.74,1344,19,35.0,-0.494,-13.33,27.0,35.0,0.681,18.391,27.0,35.0,1.294,0.681,0.47,0.142,27.0,70.38,563.0,8.0,35.0,0.142,3.844,27.0,35.0,0.47,12.694,27.0,3.0,0.0,1.0,0.0,7598858.0,48.0,-16.0,-10.0,-0.9300000000000068
Webb Simpson,69.38,555,8,2014,70.05,1331,19,37.0,0.733,23.44,32.0,37.0,-0.02,-0.643,32.0,37.0,0.561,-0.02,0.234,0.347,32.0,69.13,553.0,8.0,37.0,0.347,11.099,32.0,37.0,0.234,7.502,32.0,5.0,1.0,0.0,1.0,17092564.0,25.0,0.0,-30.0,-12.170000000000016
Dustin Johnson,69.4,347,5,2014,69.83,838,12,22.0,0.515,7.726,15.0,22.0,0.999,14.977,15.0,22.0,1.316,0.999,0.356,-0.038,15.0,68.6,343.0,5.0,22.0,-0.038,-0.575,15.0,22.0,0.356,5.341,15.0,5.0,1.0,2.0,0.0,23254063.0,11.0,0.0,-3.0,-11.600000000000023
Ian Poulter,69.4,347,5,2014,71.5,1001,14,25.0,-0.174,-3.297,19.0,25.0,-0.079,-1.498,19.0,25.0,-0.184,-0.079,-0.339,0.233,19.0,73.6,368.0,5.0,25.0,0.233,4.434,19.0,25.0,-0.339,-6.435,19.0,1.0,0.0,1.0,0.0,15391781.0,20.0,-15.0,-107.0,-9.960000000000008
Vijay Singh,69.43,486,7,2014,71.22,1638,23,35.0,-0.77,-24.647,32.0,35.0,0.413,13.207,32.0,35.0,0.826,0.413,0.25,0.164,32.0,71.33,428.0,6.0,35.0,0.164,5.233,32.0,35.0,0.25,7.995,32.0,1.0,0.0,1.0,0.0,68290632.0,157.0,-7.0,-79.0,-0.3400000000000034
Matt Kuchar,69.57,487,7,2014,69.94,1119,16,33.0,0.276,8.278,30.0,33.0,0.379,11.36,30.0,33.0,1.384,0.379,0.911,0.094,30.0,70.57,494.0,7.0,33.0,0.094,2.806,30.0,33.0,0.911,27.338,30.0,6.0,0.0,1.0,0.0,28151134.0,7.0,-19.0,-173.0,28.649999999999977
Luke Donald,69.6,348,5,2014,71.3,713,10,21.0,0.82,13.12,16.0,21.0,-0.164,-2.622,16.0,21.0,0.707,-0.164,0.378,0.493,16.0,70.6,353.0,5.0,21.0,0.493,7.886,16.0,21.0,0.378,6.043,16.0,2.0,0.0,0.0,0.0,31437331.0,27.0,-4.0,50.0,-10.930000000000007
Graeme McDowell,69.6,348,5,2014,70.73,778,11,24.0,1.195,16.726,14.0,24.0,-0.035,-0.49,14.0,24.0,0.531,-0.035,0.808,-0.243,14.0,69.4,347.0,5.0,24.0,-0.243,-3.395,14.0,24.0,0.808,11.317,14.0,5.0,0.0,0.0,1.0,10637079.0,14.0,0.0,-116.0,-6.969999999999999
Patrick Reed,69.63,557,8,2014,69.95,1469,21,37.0,0.458,12.377,27.0,37.0,0.308,8.303,27.0,37.0,0.314,0.308,-0.428,0.435,27.0,71.75,574.0,8.0,37.0,0.435,11.743,27.0,37.0,-0.428,-11.562,27.0,2.0,2.0,0.0,0.0,5307645.0,23.0,0.0,36.0,-1.8899999999999864
Hideki Matsuyama,69.67,418,6,2014,70.0,980,14,28.0,0.139,2.772,20.0,28.0,0.649,12.986,20.0,28.0,1.865,0.649,1.207,0.009,20.0,70.5,423.0,6.0,28.0,0.009,0.172,20.0,28.0,1.207,24.133,20.0,2.0,0.0,0.0,1.0,1579762.0,26.0,-2.0,-36.0,-6.3799999999999955
Nick Watney,69.75,558,8,2014,71.65,1218,17,31.0,-0.485,-9.206,19.0,31.0,0.619,11.758,19.0,31.0,1.379,0.619,0.807,-0.047,19.0,70.83,425.0,6.0,31.0,-0.047,-0.892,19.0,31.0,0.807,15.331,19.0,0.0,0.0,0.0,0.0,21474564.0,47.0,-5.0,-32.0,-9.300000000000011
Zach Johnson,69.78,628,9,2014,69.0,1311,19,37.0,0.262,8.908,34.0,37.0,0.336,11.412,34.0,37.0,1.271,0.336,0.598,0.338,34.0,69.44,625.0,9.0,37.0,0.338,11.485,34.0,37.0,0.598,20.316,34.0,4.0,1.0,0.0,1.0,32409494.0,10.0,0.0,69.0,-6.560000000000002
Jason Dufner,69.83,419,6,2014,70.58,847,12,27.0,-0.51,-10.202,20.0,27.0,0.213,4.25,20.0,27.0,1.518,0.213,0.698,0.607,20.0,70.83,425.0,6.0,27.0,0.607,12.146,20.0,27.0,0.698,13.958,20.0,3.0,0.0,0.0,0.0,16363526.0,16.0,0.0,-42.0,-15.009999999999991
K.J. Choi,69.88,559,8,2014,71.58,1360,19,33.0,0.434,11.295,26.0,33.0,-0.026,-0.668,26.0,33.0,0.56,-0.026,0.244,0.341,26.0,70.43,493.0,7.0,33.0,0.341,8.866,26.0,33.0,0.244,6.344,26.0,1.0,0.0,1.0,0.0,29075649.0,98.0,-11.0,94.0,-3.5700000000000074
John Senden,69.91,769,11,2014,70.15,1824,26,45.0,0.515,19.042,37.0,45.0,0.201,7.433,37.0,45.0,0.394,0.201,0.131,0.062,37.0,70.9,709.0,10.0,45.0,0.062,2.309,37.0,45.0,0.131,4.844,37.0,2.0,1.0,0.0,0.0,17463629.0,59.0,-13.0,83.0,-2.010000000000005
Peter Hanson,70.0,210,3,2014,72.2,722,10,18.0,-0.128,-1.537,12.0,18.0,0.015,0.175,12.0,18.0,0.031,0.015,0.808,-0.792,12.0,71.33,214.0,3.0,18.0,-0.792,-9.501,12.0,18.0,0.808,9.693,12.0,0.0,0.0,0.0,0.0,2647175.0,70.0,0.0,298.41144200626957,-5.759999999999991
Ryan Moore,70.13,561,8,2014,69.67,1254,18,36.0,0.22,4.849,22.0,36.0,0.256,5.636,22.0,36.0,0.841,0.256,0.479,0.105,22.0,71.0,568.0,8.0,36.0,0.105,2.315,22.0,36.0,0.479,10.544,22.0,4.0,1.0,0.0,0.0,17554482.0,33.0,0.0,10.0,-8.090000000000003
Rickie Fowler,70.17,421,6,2014,71.67,1505,21,38.0,-0.708,-14.867,21.0,38.0,0.364,7.637,21.0,38.0,1.181,0.364,0.681,0.136,21.0,69.67,418.0,6.0,38.0,0.136,2.853,21.0,38.0,0.681,14.298,21.0,2.0,0.0,0.0,1.0,11521144.0,39.0,-21.0,-103.0,3.1200000000000045
Bill Haas,70.2,702,10,2014,70.24,1475,21,42.0,0.168,4.867,29.0,42.0,0.271,7.853,29.0,42.0,0.715,0.271,0.184,0.26,29.0,71.0,710.0,10.0,42.0,0.26,7.546,29.0,42.0,0.184,5.339,29.0,2.0,0.0,0.0,0.0,18613349.0,31.0,-17.0,-50.0,-5.710000000000008
Keegan Bradley,70.22,632,9,2014,69.67,1463,21,39.0,0.345,9.302,27.0,39.0,0.362,9.779,27.0,39.0,0.731,0.362,0.379,-0.01,27.0,71.0,639.0,9.0,39.0,-0.01,-0.277,27.0,39.0,0.379,10.23,27.0,2.0,0.0,1.0,0.0,12749786.0,18.0,0.0,-77.0,23.22999999999999
Kevin Stadler,70.33,633,9,2014,69.55,1530,22,39.0,-0.302,-7.842,26.0,39.0,0.618,16.079,26.0,39.0,1.41,0.618,0.739,0.053,26.0,71.0,639.0,9.0,39.0,0.053,1.384,26.0,39.0,0.739,19.204,26.0,2.0,1.0,0.0,0.0,9029881.0,60.0,-7.0,-11.0,-3.8100000000000023
Matt Jones,70.44,634,9,2014,69.65,1811,26,42.0,0.295,7.968,27.0,42.0,0.503,13.589,27.0,42.0,0.602,0.503,0.112,-0.014,27.0,71.67,645.0,9.0,42.0,-0.014,-0.374,27.0,42.0,0.112,3.029,27.0,1.0,1.0,0.0,0.0,6817907.0,41.0,0.0,-139.0,59.709999999999994
Louis Oosthuizen,70.5,141,2,2014,73.0,730,10,18.0,-0.737,-7.37,10.0,18.0,0.985,9.854,10.0,18.0,0.007,0.985,-0.818,-0.161,10.0,70.5,141.0,2.0,18.0,-0.161,-1.605,10.0,18.0,-0.818,-8.18,10.0,1.0,0.0,0.0,0.0,6445322.0,35.0,-8.0,-4.0,-12.320000000000022
Adam Scott,70.6,353,5,2014,68.8,688,10,20.0,0.606,12.125,20.0,20.0,0.743,14.86,20.0,20.0,1.002,0.743,0.329,-0.07,20.0,70.6,353.0,5.0,20.0,-0.07,-1.407,20.0,20.0,0.329,6.58,20.0,3.0,0.0,0.0,1.0,34109215.0,2.0,-8.0,-116.0,3.5
